"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
12;"f";;8;"CONCEPTION IMMACULEE DE LA BIENHEUREUSE VIERGE MARIE";"Solennité";"Blanc";3
12;"g";;9;"St Jean Diego Cuahtlatoatzin";"Mémoire facultative";;12
12;"A";;10;;;;
12;"b";;11;"St Damase 1er, pape";"Mémoire facultative";;12
12;"c";;12;"Bienheureuse Vierge Marie de Guadalupe.";"Mémoire facultative";;12
12;"d";;13;"Ste Lucie, vierge et martyre";"Mémoire obligatoire";"Rouge";10
12;"e";;14;"St Jean de la Croix, prêtre et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
12;"f";;15;;;;
12;"g";;16;;;;
12;"A";;17;;;;
12;"b";;18;;;;
12;"c";;19;;;;
12;"d";;20;;;;
12;"e";;21;"St Pierre Canisius, prêtre et docteur de l'Église";"Mémoire facultative";;12
12;"f";;22;;;;
12;"g";;23;"St Jean de Kenty, prêtre";"Mémoire facultative";;12
12;"A";;24;;;;
12;"b";;25;"Nativité du Seigneur";"Solennité";"Blanc";2
12;"c";;26;"St Étienne, protomartyr";"Fête";"Rouge";7
12;"d";;27;"St Jean, apôtre et évangéliste";"Fête";"Rouge";7
12;"e";;28;"Les Saints Innocents, martyrs";"Fête";"Rouge";7
12;"f";;29;"St Thomas Becket, évêque et martyr";"Commémoraison";;12
12;"g";;30;;;;
12;"A";;31;"St Sylvestre 1er, pape  ";"Commémoraison";;12
;;;;;;;
;;;;;;;
;;;;"Cœur Immaculé de Marie";"Mémoire facultative";;12
